Site Code,Faunal mid-depth,MDS code old,MDS code,Agatha simplex,Alaba monile,Alaba translucida,Assiminea tasmanica,Austrocochlea sp,Bankivia fasciatus,Bassina disjecta,Bittium granarium,Biv APA,Biv CP,Biv CV,Biv D,Biv EP,Biv ET,Biv EW,Biv FB,Biv FC,Biv FE,Biv FI,Biv FJ,Biv FK,Biv Z,Callista (Notocallista) diemenensis,Cardita excavata,Chemnitzia mariae,Bembicium sp,Clanculus sp_,Corbula (Varicorbula) gibba,Crassostrea gigas,Cuspidaria brazieri  (check),Diala suturalis,Dolicrossea labiata,Dosinia caerulea,Dosinia crocea (check),Dosinia victoriae,Electroma (Electroma) georgiana,Equichlamys bifrons,Fulvia tenuicostata,Fusinus novohollandiae,Gast EI,Gast EJ,Gast_ E,Gast_ EC,Gast_ ED,Gast_ EF,Gast_ EH,Gastrochaena (Gastrochaena) tasmanica,Gazameda gunnii,Guraleus alucinans,Hemitoma subemarginata,Hiatella australis,Hydrococcus brazieri,Isotriphora sp,Katelysia rhytiphora,Katelysia scalarina,Lasaea australis,Laternula spp or Periploma (Offadesma) angasi,Leionucula obliqua,Limpet A,Limpet D,Litozamia brazieri,Mactra (Electomactra) antecedens,Maoricolpus roseus,Melliteryx acupuncta,Mimachlamys asperrima,Miralda suprasculpta,Mitrella tayloriana?,Musculus sp_,Myadora sp_,Myrtea (Myrtea) mayi,Mysella cf_ lactea,Mysella donaciformis,Nassarius nigellus,Nassarius pauperatus,Nemocardium (Pratulum) thetidis,Nozeba topaziaca,Nucula coura?,Odostomia occultidens,Ostrea angasi,Paphies (Atactodea) erycinaea,Parathyasira cf resupina,Pecten fumatus,Penion mandarinus,Petricola (Velargilla) rubiginosa,Phasianotrochus rutilus,Philine angasi ,Philine sp or retusa sp?,Placamen placidum,Pyrgiscus fusca,Retusa sp_,Scissurella atkinsoni,Seila crocea,Spisula (Notospisula) trigonella,Syrnola bifasciata,Tahunanina subalata,Tellina (Macomona) margaratina,Tellina deltoides,Theora lubrica,Theora fragilis,Thracia cf myodoroides,Thyasira adelaideana (fragments?),Timoclea (Chioneryx) cardioides,Venericardia bimaculata,Venerupis largillierti,Venerupis anomala,Volvulella rostrata (check),Wallucina assimilis,Zafra atkinsoni,Zalapais inscripta? 
IPHC-10,2.5,10_5,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPHC-10,12.5,10_23,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
IPHC-10,22.5,10_50,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,13,2,0,0,0,0,0,0,17,0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,5,1,11,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,1,0,0,2,47,3,0,0,0,0,0,0
IPHC-10,32.5,10_79,10.4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,32,5,0,0,5,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,31,0,0,0,2,1,0,8,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,2,0,6,73,16,0,0,0,0,0,0
IPHC-10,42.5,10_98,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,2,0,0,0,0,0,0,28,0,0,0,2,0,2,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,5,0,30,1,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,2,0,2,60,11,0,0,0,0,0,0
IPHC-10,52.5,10_>98-1,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,30,0,0,0,4,0,0,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,11,0,35,4,0,0,0,0,3,12,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,0,3,23,2,0,0,0,0,0,0
IPHC-10,62.5,10_>98-2,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,14,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,7,1,0,0,0,0,0,0
IPHC-10,72.5,10_>98-3,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,0,0,0,0,0,0,0
IPHC-10,82.5,10_>98-4,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,0,1,0,3,5,0,0,0,0,1,7,0,0,0,0,2,0,0,1,0,0,2,0,1,5,1,0,1,0,0,0,0
IPHC-10,92.5,10_>98-5,10.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,0,2,0,0,0,0,0,1,3,0,0,0,0,1,4,0,0,0,0,9,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
