Site Code,Faunal mid-depth,MDS code old,MDS code,Bassina disjecta,Bittium granarium,Biv APA,Biv CV,Biv FD,Biv FE,Biv FF,Biv FH,Callista (Notocallista) diemenensis,Cardita sp?,Chemnitzia mariae,Clanculus philippi,Corbula (Varicorbula) gibba,Cuspidaria brazieri  (check),Cystiscus angasi,Diala suturalis,Dolicrossea labiata,Dosinia caerulea,Dosinia crocea (check),Dosinia victoriae,Electroma (Electroma) georgiana,Equichlamys bifrons,Ethminolia mayi,Fulvia tenuicostata,Gast EJ,Gast EK,Gazameda gunnii,Guraleus alucinans,Hemitoma subemarginata,Hiatella australis,Katelysia scalarina,Lasaea australis,Leionucula obliqua,Limpet D,Maoricolpus roseus,Melliteryx acupuncta,Mimachlamys asperrima,Musculus sp_,Myadora brevis,Mysella donaciformis,Nassarius nigellus,Nemocardium (Pratulum) thetidis,Nozeba topaziaca,Nucula sp A,Nuculana (Propeleda) ensicula,Ostrea angasi,Pecten fumatus,Philine sp or retusa sp?,Pisinna frenchiensis,Placamen placidum,Retusa sp_,Spisula (Notospisula) trigonella,Tatea rufilabris,Tellina (Macomona) margaratina,Theora lubrica,Theora fragilis,Thyasira adelaideana,Timoclea (Chioneryx) cardioides,Venericardia bimaculata,Venerupis (Venerupis) anomala,Zafra atkinsoni
IPHC-31,2.5,31_7,31.1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
IPHC-31,12.5,31_37,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0
IPHC-31,22.5,31_67,31.3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,3,14,0,1,0,0,7,0,0,0,1,0,0,0,0,3,1,1,1,0,0
IPHC-31,32.5,31_95,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,0,0,0,0
IPHC-31,42.5,31_>95-1,31.5,1,0,0,0,1,0,0,0,2,0,0,0,0,8,0,0,0,2,0,1,0,0,1,7,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,5,46,0,0,0,0,8,0,0,1,2,0,0,1,0,2,0,6,0,0,0
IPHC-31,52.5,31_>95-2,31.6,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,7,0,0,0,0,1,0,2,0,1,0,14,82,0,0,1,0,3,0,0,0,2,0,0,1,0,1,0,5,0,0,0
IPHC-31,62.5,31_>95-3,31.7,0,0,1,0,0,0,0,0,1,0,0,0,0,15,0,0,0,3,0,6,0,0,0,5,0,0,1,0,0,12,0,0,2,0,0,0,1,0,6,0,23,85,2,0,0,0,9,0,0,0,0,0,0,0,0,3,2,4,4,0,0
IPHC-31,72.5,31_>95-4,31.8,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,1,0,1,0,0,0,0,0,10,2,0,1,1,0,9,0,0,2,0,0,0,0,0,1,0,12,65,0,3,0,0,8,0,0,2,6,0,0,3,0,0,4,2,1,0,0
IPHC-31,82.5,31_>95-5,31.9,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,3,0,0,1,0,0,0,1,0,2,0,3,23,1,1,1,0,10,0,0,0,3,0,0,0,0,0,3,2,3,0,0
IPHC-32,2.5,32_1,32.1,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
IPHC-32,12.5,32_2,32.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0
IPHC-32,22.5,32_3,32.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,10,0,3,0,0,1,0,0,0,0,0,0,0,2,1,2,1,1,0,0
IPHC-32,32.5,32_4,32.4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,28,0,5,0,0,2,0,0,2,3,2,0,0,0,2,2,0,0,0,0
IPHC-32,42.5,32_5,32.5,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,1,0,0,0,0,1,0,3,20,0,0,0,0,4,1,0,0,1,0,0,0,0,3,0,1,0,0,0
IPHC-32,52.5,32_6,32.6,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,4,1,0,0,3,0,0,0,1,0,8,0,0,1,0,0,0,1,0,1,0,0,31,1,0,0,0,9,0,0,0,0,0,0,0,0,1,2,4,0,0,0
