Site_code,Mid_depth_cm,Sedimentation_rate_recent_mmyr,Layer_depth_mm,Layer_age,Year_sampled,Newdata_Layer_age,Newdata_Year_sampled
IPHC-10,2.5,5.46,50,9.157509158,1991,9.157509158,2015
IPHC-10,12.5,3.26,250,76.68711656,1923,76.68711656,1947
IPHC-10,22.5,5.26,450,85.5513308,1914,85.5513308,1938
IPHC-12,2.5,6.22,50,8.038585209,1992,8.038585209,2016
IPHC-12,12.5,2.95,250,84.74576271,1915,84.74576271,1939
IPHC-12,22.5,6.9,450,65.2173913,1935,65.2173913,1959
IPHC-13,2.5,2.05,50,24.3902439,1976,24.3902439,2000
IPHC-13,12.5,2.05,250,121.9512195,1878,121.9512195,1902
IPHC-13,22.5,6.41,450,70.20280811,1930,70.20280811,1954
IPHC-15,2.5,3.85,50,12.98701299,1988,12.98701299,2011
IPHC-15,12.5,1.71,250,146.1988304,1855,146.1988304,1878
IPHC-15,22.5,4.32,450,104.1666667,1897,104.1666667,1920
IPHC-22,2.5,4.93,50,10.14198783,1991,10.14198783,2014
IPHC-22,12.5,1.44,250,173.6111111,1827,173.6111111,1850
IPHC-22,22.5,8.72,450,51.60550459,1949,51.60550459,1972
IPHC-25,2.5,3.18,50,15.72327044,1986,15.72327044,2008
IPHC-25,12.5,3.18,250,78.6163522,1923,78.6163522,1945
IPHC-25,22.5,3.18,450,141.509434,1860,141.509434,1882
IPHC-28,2.5,4.08,50,12.25490196,1990,12.25490196,2012
IPHC-28,12.5,4.08,250,61.2745098,1941,61.2745098,1963
IPHC-28,22.5,0.036,450,12500,-10498,12500,-10476
IPHC-29,2.5,4.21,50,11.87648456,1990,11.87648456,2012
IPHC-29,12.5,4.21,250,59.3824228,1943,59.3824228,1965
IPHC-29,22.5,2.06,450,218.4466019,1784,218.4466019,1806
IPHC-30,2.5,14.46,50,3.457814661,1999,3.457814661,2021
IPHC-30,12.5,14.46,250,17.28907331,1985,17.28907331,2007
IPHC-30,22.5,1.84,450,244.5652174,1757,244.5652174,1779
IPHC-31,2.5,3.36,50,14.88095238,1987,14.88095238,2009
IPHC-31,12.5,3.36,250,74.4047619,1928,74.4047619,1950
IPHC-31,22.5,0.103,450,4368.932039,-2367,4368.932039,-2345
IPHC-33,2.5,4.85,50,10.30927835,1992,10.30927835,2014
IPHC-33,12.5,4.85,250,51.54639175,1950,51.54639175,1972
IPHC-33,22.5,11.63,450,38.69303525,1963,38.69303525,1985
IPHC-8,2.5,3.28,50,15.24390244,1985,15.24390244,2009
IPHC-8,12.5,1.35,250,185.1851852,1815,185.1851852,1839
IPHC-8,22.5,1.35,450,333.3333333,1667,333.3333333,1691
