Site_name,Site_location,Site_code,Mid_depth_cm,Sieve_size_mm,Condition,Species_code,Species_name,Abundance
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MPX55,Corbula gibba,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,4,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MPX55,Corbula gibba,1
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2.8,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MPX55,Corbula gibba,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,2,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MPX55,Corbula gibba,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1.4,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MPX55,Corbula gibba,1
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2.5,1,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MPX55,Corbula gibba,2
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MGN1,Nassarius nigellus,1
