Species_name
#N/A
Alaba monile
Anachis atkinsoni
Bassina disjecta
Bedeva paivae
Cacozeliana granarium
Cardita aviculina
Channelaxinus adelaideanus
Corbula gibba
Diala suturalis
Ennucula obliqua
Fulvia tenuicostata
Galeommatid sp.22
Gari livida
Gazameda gunnii
Guraleus sp.1
Hiatella australis
Irus cf. carditoides
Limaria imitans
Magallana gigas 
Maoricolpus roseus
Musculus impactus
Myadora albida
Mysella donaciformis
Mytilus galloprovincialis
Nassarius nigellus
Neotrigonia margaritacea
Notoacmea flammea
Ostrea (Eostrea) angasi
Phasianotrochus irisodontes
Philine angasi
Philine sp.3
Placamen placidum
Plectodon brazieri
Pratulum thetidis
Propefusus novaehollandiae 
Propilidium tasmanicum
Purpurocardia bimaculata
Pyramidellid sp.11
Raeta pulchella
Retusa atkinsoni
Splendrillia woodsi
Sypharochiton pelliserpentis
Syrnola bifasciata
Tawera gallinula
Theora lubrica
Thracia sp.38
Timoclea sp.4
Trochid sp.3
Turbonilla sp.
Ungulinid sp.20
