Site_code,Mid_depth_cm,Species_name,Abundance
IPHC-10,2.5,?Eugaimardia sp_,0
IPHC-10,2.5,Agatha simplex,0
IPHC-10,2.5,Agatha simplex.y,0
IPHC-10,2.5,Alaba monile,0
IPHC-10,2.5,Alaba monile.y,0
IPHC-10,2.5,Alaba translucida,0
IPHC-10,2.5,Alaba translucida.y,0
IPHC-10,2.5,Alvania (alvania) fasciata,0
IPHC-10,2.5,Amphithalamus obesus,0
IPHC-10,2.5,Ascorbis victoriae,0
IPHC-10,2.5,Asperdaphne sp,0
IPHC-10,2.5,Assiminea tasmanica,0
IPHC-10,2.5,Assiminea tasmanica.y,0
IPHC-10,2.5,Austrocochlea brevis,0
IPHC-10,2.5,Austrocochlea odontis,0
IPHC-10,2.5,Austrocochlea sp,0
IPHC-10,2.5,Austromitra analogica,0
IPHC-10,2.5,Austrorissopsis consobrina,0
IPHC-10,2.5,Bankivia fasciata,0
IPHC-10,2.5,Bankivia fasciatus,0
IPHC-10,2.5,Bassina disjecta,0
IPHC-10,2.5,Bassina disjecta,0
IPHC-10,2.5,Bassina disjecta.y,0
IPHC-10,2.5,Belloliva brazieri,0
IPHC-10,2.5,Bembicium melanostomum (check),0
IPHC-10,2.5,Bembicium sp,0
IPHC-10,2.5,Bittium granarium,0
IPHC-10,2.5,Bittium granarium,0
IPHC-10,2.5,Bittium granarium.y,0
IPHC-10,2.5,Biv AK,0
IPHC-10,2.5,Biv AP,0
IPHC-10,2.5,Biv APA,0
IPHC-10,2.5,Biv APA.y,0
IPHC-10,2.5,Biv CP,0
IPHC-10,2.5,Biv CP.y,0
IPHC-10,2.5,Biv CT,0
IPHC-10,2.5,Biv CV,0
IPHC-10,2.5,Biv CV,0
IPHC-10,2.5,Biv CV.y,0
IPHC-10,2.5,Biv D,0
IPHC-10,2.5,Biv D.y,0
IPHC-10,2.5,Biv DB,0
IPHC-10,2.5,Biv DM,0
IPHC-10,2.5,Biv DO,0
IPHC-10,2.5,Biv DS,0
IPHC-10,2.5,Biv DT,0
IPHC-10,2.5,Biv EF,0
IPHC-10,2.5,Biv EG,0
IPHC-10,2.5,Biv EP,0
IPHC-10,2.5,Biv EP.y,0
IPHC-10,2.5,Biv ET,0
IPHC-10,2.5,Biv EW,0
IPHC-10,2.5,Biv EY,0
IPHC-10,2.5,Biv FA,0
IPHC-10,2.5,Biv FB,0
IPHC-10,2.5,Biv FC,0
IPHC-10,2.5,Biv FD,0
IPHC-10,2.5,Biv FE,0
IPHC-10,2.5,Biv FE.y,0
IPHC-10,2.5,Biv FF,0
IPHC-10,2.5,Biv FH,0
IPHC-10,2.5,Biv FI,0
IPHC-10,2.5,Biv FJ,0
IPHC-10,2.5,Biv FK,0
IPHC-10,2.5,Biv Z,0
IPHC-10,2.5,Callista (Notocallista) diemenensis,0
IPHC-10,2.5,Callista (Notocallista) diemenensis,0
IPHC-10,2.5,Callista (Notocallista) diemenensis.y,0
IPHC-10,2.5,Cardita excavata,0
IPHC-10,2.5,Cardita excavata.y,0
IPHC-10,2.5,Cardita sp?,0
IPHC-10,2.5,cf Benthoxystus petterdi,0
IPHC-10,2.5,cf Mesoginella pygmaeoides,0
IPHC-10,2.5,cf Nuculana (Scaeoleda) comita,0
IPHC-10,2.5,Chemnitzia mariae,0
IPHC-10,2.5,Chemnitzia mariae,0
IPHC-10,2.5,Chemnitzia mariae.y,0
IPHC-10,2.5,Clanculus philippi,0
IPHC-10,2.5,Clanculus sp_,0
IPHC-10,2.5,Clanculus sp_.y,0
IPHC-10,2.5,Clathrus minora,0
IPHC-10,2.5,Colpospira (Ctenocolpus) australis,0
IPHC-10,2.5,Corbula (Varicorbula) gibba,5
IPHC-10,2.5,Corbula (Varicorbula) gibba,0
IPHC-10,2.5,Corbula (Varicorbula) gibba.y,0
IPHC-10,2.5,Crassitoniella erratica erratica,0
IPHC-10,2.5,Crassostrea gigas,0
IPHC-10,2.5,Cratis new species,0
IPHC-10,2.5,Cuspidaria brazieri  (check),0
IPHC-10,2.5,Cuspidaria brazieri  (check),0
IPHC-10,2.5,Cuspidaria brazieri  (check).y,0
IPHC-10,2.5,Cystiscus angasi,0
IPHC-10,2.5,Dentimitrella sp,0
IPHC-10,2.5,Diala suturalis,0
IPHC-10,2.5,Diala suturalis,0
IPHC-10,2.5,Diala suturalis.y,0
IPHC-10,2.5,Diplodonta tasmanica,0
IPHC-10,2.5,Divalucina cumingi,0
IPHC-10,2.5,Dolicrossea labiata,0
IPHC-10,2.5,Dolicrossea labiata,0
IPHC-10,2.5,Dolicrossea labiata.y,0
IPHC-10,2.5,Dosinia caerulea,0
IPHC-10,2.5,Dosinia caerulea,0
IPHC-10,2.5,Dosinia caerulea.y,0
IPHC-10,2.5,Dosinia crocea (check),0
IPHC-10,2.5,Dosinia crocea (check),0
IPHC-10,2.5,Dosinia crocea (check).y,0
IPHC-10,2.5,Dosinia victoriae,0
IPHC-10,2.5,Dosinia victoriae,0
IPHC-10,2.5,Dosinia victoriae.y,0
IPHC-10,2.5,Electroma (Electroma) georgiana,1
IPHC-10,2.5,Electroma (Electroma) georgiana,0
IPHC-10,2.5,Electroma (Electroma) georgiana.y,0
IPHC-10,2.5,Epicodakia tatei,0
IPHC-10,2.5,Equichlamys bifrons,0
IPHC-10,2.5,Equichlamys bifrons,0
IPHC-10,2.5,Equichlamys bifrons.y,0
IPHC-10,2.5,Ethminolia mayi,0
IPHC-10,2.5,Ethminolia mayi.y,0
IPHC-10,2.5,Etrema denseplicata,0
IPHC-10,2.5,Faunal mid-depth.y,0
IPHC-10,2.5,Fossarina (Minopa) legrandi,0
IPHC-10,2.5,Fossarina (Minopa) tasmanica,0
IPHC-10,2.5,Friginatica beddomei,0
IPHC-10,2.5,Fulvia tenuicostata,0
IPHC-10,2.5,Fulvia tenuicostata,0
IPHC-10,2.5,Fulvia tenuicostata.y,0
IPHC-10,2.5,Fusinus novohollandiae,0
IPHC-10,2.5,Fusinus novohollandiae.y,0
IPHC-10,2.5,Gari (Gari) livida,0
IPHC-10,2.5,Gast EI,0
IPHC-10,2.5,Gast EJ,0
IPHC-10,2.5,Gast EJ.y,0
IPHC-10,2.5,Gast EK,0
IPHC-10,2.5,Gast_ AU,0
IPHC-10,2.5,Gast_ DW,0
IPHC-10,2.5,Gast_ E,0
IPHC-10,2.5,Gast_ EC,0
IPHC-10,2.5,Gast_ ED,0
IPHC-10,2.5,Gast_ EF,0
IPHC-10,2.5,Gast_ EH,0
IPHC-10,2.5,Gastrochaena (Gastrochaena) tasmanica,0
IPHC-10,2.5,Gastrochaena (Gastrochaena) tasmanica.y,0
IPHC-10,2.5,Gazameda gunnii,0
IPHC-10,2.5,Gazameda gunnii,0
IPHC-10,2.5,Gazameda gunnii.y,0
IPHC-10,2.5,Guraleus alucinans,0
IPHC-10,2.5,Guraleus alucinans.y,0
IPHC-10,2.5,Guraleus sp,0
IPHC-10,2.5,Hemitoma subemarginata,0
IPHC-10,2.5,Hemitoma subemarginata,0
IPHC-10,2.5,Hemitoma subemarginata.y,0
IPHC-10,2.5,Hiatella australis,0
IPHC-10,2.5,Hiatella australis,0
IPHC-10,2.5,Hiatella australis.y,0
IPHC-10,2.5,Hydrococcus brazieri,0
IPHC-10,2.5,Irus (Irus) carditoides,0
IPHC-10,2.5,Isotriphora sp,0
IPHC-10,2.5,Katelysia rhytiphora,0
IPHC-10,2.5,Katelysia rhytiphora.y,0
IPHC-10,2.5,Katelysia scalarina,0
IPHC-10,2.5,Katelysia scalarina,0
IPHC-10,2.5,Katelysia scalarina.y,0
IPHC-10,2.5,Kellia sp_,0
IPHC-10,2.5,Lasaea australis,0
IPHC-10,2.5,Lasaea australis,0
IPHC-10,2.5,Lasaea australis.y,0
IPHC-10,2.5,Laternula spp or Periploma (Offadesma) angasi,0
IPHC-10,2.5,Laternula spp or Periploma (Offadesma) angasi.y,0
IPHC-10,2.5,Leionucula obliqua,0
IPHC-10,2.5,Leionucula obliqua.y,0
IPHC-10,2.5,Leionucula sp,0
IPHC-10,2.5,Lepsiella vinosa (check),0
IPHC-10,2.5,Limpet A,0
IPHC-10,2.5,Limpet D,0
IPHC-10,2.5,Limpet D.y,0
IPHC-10,2.5,Limpets,0
IPHC-10,2.5,Lironoba australis,0
IPHC-10,2.5,Litozamia brazieri,0
IPHC-10,2.5,Litozamia brazieri.y,0
IPHC-10,2.5,Mactra (Electomactra) antecedens,0
IPHC-10,2.5,Mactra (Electomactra) antecedens.y,0
IPHC-10,2.5,Maoricolpus roseus,0
IPHC-10,2.5,Maoricolpus roseus,0
IPHC-10,2.5,Maoricolpus roseus.y,0
IPHC-10,2.5,MDS code,0
IPHC-10,2.5,MDS code old,0
IPHC-10,2.5,MDS code old.y,0
IPHC-10,2.5,MDS code.y,0
IPHC-10,2.5,Melliteryx acupuncta,0
IPHC-10,2.5,Melliteryx acupuncta,0
IPHC-10,2.5,Melliteryx acupuncta.y,0
IPHC-10,2.5,Mid-depth,0
IPHC-10,2.5,Mimachlamys asperrima,0
IPHC-10,2.5,Mimachlamys asperrima,0
IPHC-10,2.5,Mimachlamys asperrima.y,0
IPHC-10,2.5,Miralda suprasculpta,1
IPHC-10,2.5,Mitrella tayloriana?,0
IPHC-10,2.5,Mitrella tayloriana?.y,0
IPHC-10,2.5,Montacuta semiradiata,0
IPHC-10,2.5,Musculus sp,0
IPHC-10,2.5,Musculus sp_,0
IPHC-10,2.5,Musculus sp_.y,0
IPHC-10,2.5,Mussels,0
IPHC-10,2.5,Myadora brevis,0
IPHC-10,2.5,Myadora sp_,0
IPHC-10,2.5,Myadora sp_.y,0
IPHC-10,2.5,Myrtea (Myrtea) mayi,0
IPHC-10,2.5,Myrtea (Myrtea) mayi.y,0
IPHC-10,2.5,Myrtea botanica?,0
IPHC-10,2.5,Mysella cf_ lactea,0
IPHC-10,2.5,Mysella cf_ lactea.y,0
IPHC-10,2.5,Mysella donaciformis,0
IPHC-10,2.5,Mysella donaciformis,0
IPHC-10,2.5,Mysella donaciformis.y,0
IPHC-10,2.5,Nassarius nigellus,0
IPHC-10,2.5,Nassarius nigellus,0
IPHC-10,2.5,Nassarius nigellus.y,0
IPHC-10,2.5,Nassarius pauperatus,0
IPHC-10,2.5,Nassarius pauperatus.y,0
IPHC-10,2.5,Neilo australis,0
IPHC-10,2.5,Nemocardium (Pratulum) thetidis,0
IPHC-10,2.5,Nemocardium (Pratulum) thetidis,0
IPHC-10,2.5,Nemocardium (Pratulum) thetidis.y,0
IPHC-10,2.5,Nozeba topaziaca,0
IPHC-10,2.5,Nozeba topaziaca,0
IPHC-10,2.5,Nozeba topaziaca.y,0
IPHC-10,2.5,Nucula coura?,0
IPHC-10,2.5,Nucula sp,0
IPHC-10,2.5,Nucula sp A,0
IPHC-10,2.5,Nuculana (Propeleda) ensicula,0
IPHC-10,2.5,Nuculana (Propeleda) ensicula.y,0
IPHC-10,2.5,Nuculana crassa,0
IPHC-10,2.5,Odostomia occultidens,0
IPHC-10,2.5,Operculum A,0
IPHC-10,2.5,Ostrea angasi,0
IPHC-10,2.5,Ostrea angasi,0
IPHC-10,2.5,Ostrea angasi.y,0
IPHC-10,2.5,Paphies (Atactodea) erycinaea,0
IPHC-10,2.5,Paphies (Atactodea) erycinaea.y,0
IPHC-10,2.5,Parathyasira cf resupina,0
IPHC-10,2.5,Parathyasira cf resupina.y,0
IPHC-10,2.5,Passmaditta cf jungermanniae,0
IPHC-10,2.5,Pecten fumatus,0
IPHC-10,2.5,Pecten fumatus,0
IPHC-10,2.5,Pecten fumatus.y,0
IPHC-10,2.5,Penion mandarinus,0
IPHC-10,2.5,Penion mandarinus.y,0
IPHC-10,2.5,Petricola (Velargilla) rubiginosa,0
IPHC-10,2.5,Petricola (Velargilla) rubiginosa.y,0
IPHC-10,2.5,Phasianella australis,0
IPHC-10,2.5,Phasianotrochus rutilus,0
IPHC-10,2.5,Phasianotrochus rutilus.y,0
IPHC-10,2.5,Philine angasi,0
IPHC-10,2.5,Philine angasi.y,0
IPHC-10,2.5,Philine sp or retusa sp?,0
IPHC-10,2.5,Philine sp or retusa sp?,0
IPHC-10,2.5,Philine sp or retusa sp?.y,0
IPHC-10,2.5,Pisinna frenchiensis,0
IPHC-10,2.5,Pisinna sp,0
IPHC-10,2.5,Placamen placidum,0
IPHC-10,2.5,Placamen placidum,0
IPHC-10,2.5,Placamen placidum.y,0
IPHC-10,2.5,Plesiotrochus monachus,0
IPHC-10,2.5,Polinices (Glossaulax) didyma,0
IPHC-10,2.5,Pseudamycla miltostoma,0
IPHC-10,2.5,Pseudamycla sp,0
IPHC-10,2.5,Pterynotis triformis,0
IPHC-10,2.5,Pyrgiscus fusca,0
IPHC-10,2.5,Pyrgiscus fusca.y,0
IPHC-10,2.5,Radiocondyla adelaideana,0
IPHC-10,2.5,Raeta pulchella,0
IPHC-10,2.5,Retusa sp_,0
IPHC-10,2.5,Retusa sp_,0
IPHC-10,2.5,Retusa sp_ 2,0
IPHC-10,2.5,Retusa sp_.y,0
IPHC-10,2.5,Salinator fragilis,0
