"","Site Code","Faunal mid-depth.x","Species name","Abundance"
"1","IPHC-10",2.5,"Agatha simplex",0
"2","IPHC-10",2.5,"Alaba monile",0
"3","IPHC-10",2.5,"Alaba translucida",0
"4","IPHC-10",2.5,"Assiminea tasmanica",0
"5","IPHC-10",2.5,"Austrocochlea sp",0
"6","IPHC-10",2.5,"Bankivia fasciatus",0
"7","IPHC-10",2.5,"Bassina disjecta",0
"8","IPHC-10",2.5,"Bittium granarium",0
"9","IPHC-10",2.5,"Biv APA",0
"10","IPHC-10",2.5,"Biv CP",0
"11","IPHC-10",2.5,"Biv CV",0
"12","IPHC-10",2.5,"Biv D",0
"13","IPHC-10",2.5,"Biv EP",0
"14","IPHC-10",2.5,"Biv ET",0
"15","IPHC-10",2.5,"Biv EW",0
"16","IPHC-10",2.5,"Biv FB",0
"17","IPHC-10",2.5,"Biv FC",0
"18","IPHC-10",2.5,"Biv FE",0
"19","IPHC-10",2.5,"Biv FI",0
"20","IPHC-10",2.5,"Biv FJ",0
"21","IPHC-10",2.5,"Biv FK",0
"22","IPHC-10",2.5,"Biv Z",0
"23","IPHC-10",2.5,"Callista (Notocallista) diemenensis",0
"24","IPHC-10",2.5,"Cardita excavata",0
"25","IPHC-10",2.5,"Chemnitzia mariae",0
"26","IPHC-10",2.5,"Bembicium sp",0
"27","IPHC-10",2.5,"Clanculus sp_",0
"28","IPHC-10",2.5,"Corbula (Varicorbula) gibba",5
"29","IPHC-10",2.5,"Crassostrea gigas",0
"30","IPHC-10",2.5,"Cuspidaria brazieri  (check)",0
"31","IPHC-10",2.5,"Diala suturalis",0
"32","IPHC-10",2.5,"Dolicrossea labiata",0
"33","IPHC-10",2.5,"Dosinia caerulea",0
"34","IPHC-10",2.5,"Dosinia crocea (check)",0
"35","IPHC-10",2.5,"Dosinia victoriae",0
"36","IPHC-10",2.5,"Electroma (Electroma) georgiana",1
"37","IPHC-10",2.5,"Equichlamys bifrons",0
"38","IPHC-10",2.5,"Fulvia tenuicostata",0
"39","IPHC-10",2.5,"Fusinus novohollandiae",0
"40","IPHC-10",2.5,"Gast EI",0
"41","IPHC-10",2.5,"Gast EJ",0
"42","IPHC-10",2.5,"Gast_ E",0
"43","IPHC-10",2.5,"Gast_ EC",0
"44","IPHC-10",2.5,"Gast_ ED",0
"45","IPHC-10",2.5,"Gast_ EF",0
"46","IPHC-10",2.5,"Gast_ EH",0
"47","IPHC-10",2.5,"Gastrochaena (Gastrochaena) tasmanica",0
"48","IPHC-10",2.5,"Gazameda gunnii",0
"49","IPHC-10",2.5,"Guraleus alucinans",0
"50","IPHC-10",2.5,"Hemitoma subemarginata",0
"51","IPHC-10",2.5,"Hiatella australis",0
"52","IPHC-10",2.5,"Hydrococcus brazieri",0
"53","IPHC-10",2.5,"Isotriphora sp",0
"54","IPHC-10",2.5,"Katelysia rhytiphora",0
"55","IPHC-10",2.5,"Katelysia scalarina",0
"56","IPHC-10",2.5,"Lasaea australis",0
"57","IPHC-10",2.5,"Laternula spp or Periploma (Offadesma) angasi",0
"58","IPHC-10",2.5,"Leionucula obliqua",0
"59","IPHC-10",2.5,"Limpet A",0
"60","IPHC-10",2.5,"Limpet D",0
"61","IPHC-10",2.5,"Litozamia brazieri",0
"62","IPHC-10",2.5,"Mactra (Electomactra) antecedens",0
"63","IPHC-10",2.5,"Maoricolpus roseus",0
"64","IPHC-10",2.5,"Melliteryx acupuncta",0
"65","IPHC-10",2.5,"Mimachlamys asperrima",0
"66","IPHC-10",2.5,"Miralda suprasculpta",1
"67","IPHC-10",2.5,"Mitrella tayloriana?",0
"68","IPHC-10",2.5,"Musculus sp_",0
"69","IPHC-10",2.5,"Myadora sp_",0
"70","IPHC-10",2.5,"Myrtea (Myrtea) mayi",0
"71","IPHC-10",2.5,"Mysella cf_ lactea",0
"72","IPHC-10",2.5,"Mysella donaciformis",0
"73","IPHC-10",2.5,"Nassarius nigellus",0
"74","IPHC-10",2.5,"Nassarius pauperatus",0
"75","IPHC-10",2.5,"Nemocardium (Pratulum) thetidis",0
"76","IPHC-10",2.5,"Nozeba topaziaca",0
"77","IPHC-10",2.5,"Nucula coura?",0
"78","IPHC-10",2.5,"Odostomia occultidens",0
"79","IPHC-10",2.5,"Ostrea angasi",0
"80","IPHC-10",2.5,"Paphies (Atactodea) erycinaea",0
"81","IPHC-10",2.5,"Parathyasira cf resupina",0
"82","IPHC-10",2.5,"Pecten fumatus",0
"83","IPHC-10",2.5,"Penion mandarinus",0
"84","IPHC-10",2.5,"Petricola (Velargilla) rubiginosa",0
"85","IPHC-10",2.5,"Phasianotrochus rutilus",0
"86","IPHC-10",2.5,"Philine angasi",0
"87","IPHC-10",2.5,"Philine sp or retusa sp?",0
"88","IPHC-10",2.5,"Placamen placidum",0
"89","IPHC-10",2.5,"Pyrgiscus fusca",0
"90","IPHC-10",2.5,"Retusa sp_",0
"91","IPHC-10",2.5,"Scissurella atkinsoni",0
"92","IPHC-10",2.5,"Seila crocea",0
"93","IPHC-10",2.5,"Spisula (Notospisula) trigonella",0
"94","IPHC-10",2.5,"Syrnola bifasciata",0
"95","IPHC-10",2.5,"Tahunanina subalata",0
"96","IPHC-10",2.5,"Tellina (Macomona) margaratina",0
"97","IPHC-10",2.5,"Tellina deltoides",0
"98","IPHC-10",2.5,"Theora lubrica",0
"99","IPHC-10",2.5,"Theora fragilis",0
"100","IPHC-10",2.5,"Thracia cf myodoroides",0
"101","IPHC-10",2.5,"Thyasira adelaideana (fragments?)",0
"102","IPHC-10",2.5,"Timoclea (Chioneryx) cardioides",0
"103","IPHC-10",2.5,"Venericardia bimaculata",0
"104","IPHC-10",2.5,"Venerupis largillierti",0
"105","IPHC-10",2.5,"Venerupis anomala",0
"106","IPHC-10",2.5,"Volvulella rostrata (check)",0
"107","IPHC-10",2.5,"Wallucina assimilis",0
"108","IPHC-10",2.5,"Zafra atkinsoni",0
"109","IPHC-10",2.5,"Zalapais inscripta?",0
"110","IPHC-10",2.5,"Mid-depth",0
"111","IPHC-10",2.5,"MDS code old.y",0
"112","IPHC-10",2.5,"MDS code.y",0
"113","IPHC-10",2.5,"?Eugaimardia sp_",0
"114","IPHC-10",2.5,"Agatha simplex.y",0
"115","IPHC-10",2.5,"Alaba monile.y",0
