Species name
?Eugaimardia sp_
Agatha simplex
Agatha simplex.y
Alaba monile
Alaba monile.y
Alaba translucida
Alaba translucida.y
Alvania (alvania) fasciata
Amphithalamus obesus
Ascorbis victoriae
Asperdaphne sp
Assiminea tasmanica
Assiminea tasmanica.y
Austrocochlea brevis
Austrocochlea odontis
Austrocochlea sp
Austromitra analogica
Austrorissopsis consobrina
Bankivia fasciata
Bankivia fasciatus
Bassina disjecta
Bassina disjecta.y
Belloliva brazieri
Bembicium melanostomum (check)
Bembicium sp
Bittium granarium
Bittium granarium.y
Biv AK
Biv AP
Biv APA
Biv APA.y
Biv CP
Biv CP.y
Biv CT
Biv CV
Biv CV.y
Biv D
Biv D.y
Biv DB
Biv DM
Biv DO
Biv DS
Biv DT
Biv EF
Biv EG
Biv EP
Biv EP.y
Biv ET
Biv EW
Biv EY
Biv FA
Biv FB
Biv FC
Biv FD
Biv FE
Biv FE.y
Biv FF
Biv FH
Biv FI
Biv FJ
Biv FK
Biv Z
Callista (Notocallista) diemenensis
Callista (Notocallista) diemenensis.y
Cardita excavata
Cardita excavata.y
Cardita sp?
Chemnitzia mariae
Chemnitzia mariae.y
Clanculus philippi
Clanculus sp_
Clanculus sp_.y
Clathrus minora
Colpospira (Ctenocolpus) australis
Corbula (Varicorbula) gibba
Corbula (Varicorbula) gibba.y
Crassitoniella erratica erratica
Crassostrea gigas
Cratis new species
Cuspidaria brazieri  (check)
Cuspidaria brazieri  (check).y
Cystiscus angasi
Dentimitrella sp
Diala suturalis
Diala suturalis.y
Diplodonta tasmanica
Divalucina cumingi
Dolicrossea labiata
Dolicrossea labiata.y
Dosinia caerulea
Dosinia caerulea.y
Dosinia crocea (check)
Dosinia crocea (check).y
Dosinia victoriae
Dosinia victoriae.y
Electroma (Electroma) georgiana
Electroma (Electroma) georgiana.y
Epicodakia tatei
Equichlamys bifrons
Equichlamys bifrons.y
Ethminolia mayi
Ethminolia mayi.y
Etrema denseplicata
Faunal mid-depth.y
Fossarina (Minopa) legrandi
Fossarina (Minopa) tasmanica
Friginatica beddomei
Fulvia tenuicostata
Fulvia tenuicostata.y
Fusinus novohollandiae
Fusinus novohollandiae.y
Gari (Gari) livida
Gast EI
Gast EJ
Gast EJ.y
Gast EK
Gast_ AU
Gast_ DW
Gast_ E
Gast_ EC
Gast_ ED
Gast_ EF
Gast_ EH
Gastrochaena (Gastrochaena) tasmanica
Gastrochaena (Gastrochaena) tasmanica.y
Gazameda gunnii
Gazameda gunnii.y
Guraleus alucinans
Guraleus alucinans.y
Guraleus sp
Hemitoma subemarginata
Hemitoma subemarginata.y
Hiatella australis
Hiatella australis.y
Hydrococcus brazieri
Irus (Irus) carditoides
Isotriphora sp
Katelysia rhytiphora
Katelysia rhytiphora.y
Katelysia scalarina
Katelysia scalarina.y
Kellia sp_
Lasaea australis
Lasaea australis.y
Laternula spp or Periploma (Offadesma) angasi
Laternula spp or Periploma (Offadesma) angasi.y
Leionucula obliqua
Leionucula obliqua.y
Leionucula sp
Lepsiella vinosa (check)
Limpet A
Limpet D
Limpet D.y
Limpets
Lironoba australis
Litozamia brazieri
Litozamia brazieri.y
MDS code
MDS code old
MDS code old.y
MDS code.y
Mactra (Electomactra) antecedens
Mactra (Electomactra) antecedens.y
Maoricolpus roseus
Maoricolpus roseus.y
Melliteryx acupuncta
Melliteryx acupuncta.y
Mid-depth
Mimachlamys asperrima
Mimachlamys asperrima.y
