"","Species","Abundance"
"1","Diala suturalis",126
"2","Timoclea (Chioneryx) cardioides",26
"3","Timoclea (Chioneryx) cardioides",23
"4","Theora lubrica",21
"5","Corbula (Varicorbula) gibba",19
"6","Corbula (Varicorbula) gibba",19
"7","Corbula (Varicorbula) gibba",18
"8","Fulvia tenuicostata",14
"9","Corbula (Varicorbula) gibba",14
"10","Corbula (Varicorbula) gibba",14
"11","Bittium granarium",13
"12","Corbula (Varicorbula) gibba",10
"13","Fulvia tenuicostata",9
"14","Tellina (Macomona) margaratina",8
"15","Hiatella australis",7
"16","Electroma (Electroma) georgiana",7
"17","Mysella cf_ lactea",7
"18","Retusa sp_",7
"19","Fulvia tenuicostata",6
"20","Hiatella australis",6
"21","Theora lubrica",6
"22","Corbula (Varicorbula) gibba",5
"23","Theora lubrica",5
"24","Theora lubrica",5
"25","Electroma (Electroma) georgiana",5
"26","Callista (Notocallista) diemenensis",4
"27","Fulvia tenuicostata",4
"28","Nassarius nigellus",4
"29","Electroma (Electroma) georgiana",3
"30","Mimachlamys asperrima",3
"31","Nemocardium (Pratulum) thetidis",3
"32","Retusa sp_",3
"33","Hiatella australis",3
"34","Retusa sp_",3
"35","Timoclea (Chioneryx) cardioides",3
"36","Maoricolpus roseus",3
"37","Retusa sp_",3
"38","Hemitoma subemarginata",3
"39","Corbula (Varicorbula) gibba",2
"40","Cuspidaria brazieri  (check)",2
"41","Myadora sp_",2
"42","Hiatella australis",2
"43","Nassarius nigellus",2
"44","Nemocardium (Pratulum) thetidis",2
"45","Timoclea (Chioneryx) cardioides",2
"46","Clanculus sp_",2
"47","Maoricolpus roseus",2
"48","Pecten fumatus",2
"49","Venericardia bimaculata",2
"50","Electroma (Electroma) georgiana",1
"51","Miralda suprasculpta",1
"52","Biv D",1
"53","Diala suturalis",1
"54","Dosinia victoriae",1
"55","Maoricolpus roseus",1
"56","Nozeba topaziaca",1
"57","Placamen placidum",1
"58","Thyasira adelaideana (fragments?)",1
"59","Venericardia bimaculata",1
"60","Biv FE",1
"61","Electroma (Electroma) georgiana",1
"62","Fulvia tenuicostata",1
"63","Retusa sp_",1
"64","Theora lubrica",1
"65","Callista (Notocallista) diemenensis",1
"66","Nassarius nigellus",1
"67","Retusa sp_",1
"68","Theora lubrica",1
"69","Hiatella australis",1
"70","Maoricolpus roseus",1
"71","Nassarius nigellus",1
"72","Theora lubrica",1
"73","Alaba monile",1
"74","Alaba translucida",1
"75","Bassina disjecta",1
"76","Hiatella australis",1
"77","Limpet A",1
"78","Mimachlamys asperrima",1
"79","Mitrella tayloriana?",1
"80","Musculus sp_",1
"81","Ostrea angasi",1
"82","Spisula (Notospisula) trigonella",1
"83","Tahunanina subalata",1
