"","Species","Abundance"
"1","Corbula (Varicorbula) gibba",30
"2","Theora lubrica",29
"3","Placamen placidum",29
"4","Corbula (Varicorbula) gibba",27
"5","Nemocardium (Pratulum) thetidis",21
"6","Timoclea (Chioneryx) cardioides",18
"7","Placamen placidum",12
"8","Nemocardium (Pratulum) thetidis",11
"9","Raeta pulchella",11
"10","Timoclea (Chioneryx) cardioides",11
"11","Biv DB",10
"12","Raeta pulchella",9
"13","Placamen placidum",9
"14","Timoclea (Chioneryx) cardioides",9
"15","Timoclea (Chioneryx) cardioides",8
"16","Nucula sp",8
"17","Hiatella australis",7
"18","Fulvia tenuicostata",7
"19","Nassarius nigellus",6
"20","Biv AP",6
"21","Hiatella australis",6
"22","Corbula (Varicorbula) gibba",5
"23","Thracia cf myodoroides",5
"24","Nemocardium (Pratulum) thetidis",5
"25","Corbula (Varicorbula) gibba",5
"26","Theora lubrica",4
"27","Fulvia tenuicostata",4
"28","Hiatella australis",4
"29","Cuspidaria brazieri  (check)",4
"30","Hiatella australis",4
"31","Nassarius nigellus",4
"32","Nucula sp",4
"33","Pisinna sp",3
"34","Mysella donaciformis",3
"35","Nucula sp",3
"36","Hiatella australis",2
"37","Corbula (Varicorbula) gibba",2
"38","Mimachlamys asperrima",2
"39","Nemocardium (Pratulum) thetidis",2
"40","Tellina margaratina",2
"41","Theora lubrica",2
"42","Gari (Gari) livida",2
"43","Maoricolpus roseus",2
"44","Myrtea (Myrtea) mayi",2
"45","Retusa sp_",2
"46","Theora lubrica",2
"47","Biv AP",2
"48","Electroma (Electroma) georgiana",2
"49","Theora lubrica",2
"50","Fulvia tenuicostata",1
"51","Nemocardium (Pratulum) thetidis",1
"52","Agatha simplex",1
"53","Leionucula sp",1
"54","Ostrea angasi",1
"55","Timoclea (Chioneryx) cardioides",1
"56","Bittium granarium",1
"57","Fossarina (Minopa) legrandi",1
"58","Fulvia tenuicostata",1
"59","Limpets",1
"60","Nassarius nigellus",1
"61","Biv EY",1
"62","Nassarius nigellus",1
"63","Diplodonta tasmanica",1
"64","Dosinia victoriae",1
"65","Electroma (Electroma) georgiana",1
"66","Gazameda gunnii",1
"67","Katelysia rhytiphora",1
"68","Litozamia brazieri",1
"69","Myadora sp_",1
"70","Retusa sp_ 2",1
"71","Tawera gallinulla",1
"72","Tellina margaratina",1
"73","Zafra atkinsoni",1
"74","Chemnitzia mariae",1
"75","Diala suturalis",1
"76","Gari (Gari) livida",1
"77","Hiatella australis",1
"78","Mysella donaciformis",1
"79","Nassarius nigellus",1
"80","Thracia cf myodoroides",1
"81","Venericardia bimaculata",1
"82","Biv DO",1
"83","Fulvia tenuicostata",1
"84","Lasaea australis",1
"85","Mysella donaciformis",1
"86","Nassarius nigellus",1
"87","Phasianotrochus rutilus",1
"88","Tellina margaratina",1
