"Species_name"
"#N/A"
"Anachis atkinsoni"
"Bedeva paivae"
"Cacozeliana granarium"
"Cardita aviculina"
"Channelaxinus adelaideanus"
"Corbula gibba"
"Ennucula obliqua"
"Galeommatid sp.22"
"Gari livida"
"Guraleus sp.1"
"Irus cf. carditoides"
"Limaria imitans"
"Magallana gigas "
"Musculus impactus"
"Myadora albida"
"Mytilus galloprovincialis"
"Neotrigonia margaritacea"
"Notoacmea flammea"
"Ostrea (Eostrea) angasi"
"Phasianotrochus irisodontes"
"Philine sp.3"
"Plectodon brazieri"
"Pratulum thetidis"
"Propefusus novaehollandiae "
"Propilidium tasmanicum"
"Purpurocardia bimaculata"
"Pyramidellid sp.11"
"Retusa atkinsoni"
"Splendrillia woodsi"
"Sypharochiton pelliserpentis"
"Tawera gallinula"
"Thracia sp.38"
"Timoclea sp.4"
"Trochid sp.3"
"Turbonilla sp."
"Ungulinid sp.20"
