Site Code,Faunal mid-depth.x,Species name,Old_core_data_Dead_abundance,Site_code,Species_name,New_VV_grab_data_Live_abundance,New_core_data_Dead_abundance
IPHC-10,2.5,Agatha simplex,0,IPHC10,Agatha simplex,NA,NA
IPHC-10,2.5,Alaba monile,0,IPHC10,Alaba monile,NA,NA
IPHC-10,2.5,Alaba translucida,0,IPHC10,Alaba translucida,NA,NA
IPHC-10,2.5,Assiminea tasmanica,0,IPHC10,Assiminea tasmanica,NA,NA
IPHC-10,2.5,Austrocochlea sp,0,IPHC10,Austrocochlea sp,NA,NA
IPHC-10,2.5,Bankivia fasciatus,0,IPHC10,Bankivia fasciatus,NA,NA
IPHC-10,2.5,Bassina disjecta,0,IPHC10,Bassina disjecta,NA,NA
IPHC-10,2.5,Cacozeliana granarium,0,IPHC10,Cacozeliana granarium,NA,NA
IPHC-10,2.5,Biv APA,0,IPHC10,Biv APA,NA,NA
IPHC-10,2.5,Biv CP,0,IPHC10,Biv CP,NA,NA
IPHC-10,2.5,Biv CV,0,IPHC10,Biv CV,NA,NA
IPHC-10,2.5,Biv D,0,IPHC10,Biv D,NA,NA
IPHC-10,2.5,Biv EP,0,IPHC10,Biv EP,NA,NA
IPHC-10,2.5,Biv ET,0,IPHC10,Biv ET,NA,NA
IPHC-10,2.5,Biv EW,0,IPHC10,Biv EW,NA,NA
IPHC-10,2.5,Biv FB,0,IPHC10,Biv FB,NA,NA
IPHC-10,2.5,Biv FC,0,IPHC10,Biv FC,NA,NA
IPHC-10,2.5,Biv FE,0,IPHC10,Biv FE,NA,NA
IPHC-10,2.5,Biv FI,0,IPHC10,Biv FI,NA,NA
IPHC-10,2.5,Biv FJ,0,IPHC10,Biv FJ,NA,NA
IPHC-10,2.5,Biv FK,0,IPHC10,Biv FK,NA,NA
IPHC-10,2.5,Biv Z,0,IPHC10,Biv Z,NA,NA
IPHC-10,2.5,Callista (Notocallista) diemenensis,0,IPHC10,Callista (Notocallista) diemenensis,NA,NA
IPHC-10,2.5,Cardita aviculina,0,IPHC10,Cardita aviculina,NA,NA
IPHC-10,2.5,Chemnitzia mariae,0,IPHC10,Chemnitzia mariae,NA,NA
IPHC-10,2.5,Bembicium sp,0,IPHC10,Bembicium sp,NA,NA
IPHC-10,2.5,Clanculus sp_,0,IPHC10,Clanculus sp_,NA,NA
IPHC-10,2.5,Corbula gibba,5,IPHC10,Corbula gibba,130,2
IPHC-10,2.5,Magallana gigas,0,IPHC10,Magallana gigas,NA,NA
IPHC-10,2.5,Plectodon brazieri,0,IPHC10,Plectodon brazieri,0,0
IPHC-10,2.5,Diala suturalis,0,IPHC10,Diala suturalis,NA,NA
IPHC-10,2.5,Dolicrossea labiata,0,IPHC10,Dolicrossea labiata,NA,NA
IPHC-10,2.5,Dosinia caerulea,0,IPHC10,Dosinia caerulea,NA,NA
